State,District,Latitude,Longitude,District Code,Population,Households with Internet,Total Workers,Cultivator Workers,Agricultural Workers,Household Workers,Households with Electric Lighting,Households with Internet,Households with Computer,Below Primary Education,Households with Bathing Facility,Households with Latrine Facility within Premises,Water Source Near Premises Households,Water Source Within Premises Households,Main Water Source: Tank/Pond/Lake Households,Main Water Source: Tapwater Households,Main Water Source: Tubewell/Borehole Households,Owned Households,Rented Households,Age Group 0-29,Age Group 30-49,Age Group 50+,Total Power Parity,Households with Internet,Sex ratio,Literacy rate
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,224655,54511,109696,9917,20065,631,8873,129673,35018,30019,42462,38651,159,5094,526,100345,2119,413475,136898,85045,565,631,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,216372,38727,136334,9119,10004,478,6698,128209,52118,30398,75837,57924,140,2091,371,147280,830,421241,139909,93398,489,478,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,1114583,216012,635907,37932,66263,3460,42461,733380,217626,152392,358607,251811,542,10992,3523,720630,6856,2206340,739982,449035,2679,3460,90.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,932416,264928,376344,31244,52935,3834,37833,689880,276680,124672,158086,358850,413,19043,1279,535085,6347,2115448,713597,498299,3014,3834,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,877682,201882,554271,22555,51028,1845,25078,467768,152501,47753,145728,273702,424,5373,12245,430158,5069,1453438,495020,277610,1836,1845,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,1060344,255017,502637,36958,70001,4810,39564,810191,208882,171904,295371,259500,909,18159,11051,620927,6879,2176701,759132,486032,2930,4810,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,404136,2578,1687,4799,231204,44283,78113,80406,210801,206017,27384,202495,204,227354,2001,112043,110377,602411,303748,148945,34145,44283,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,726531,284472,287828,10821,157646,1782,9042,183667,48350,62326,161593,35465,1002,49120,4335,287405,13252,864272,358157,189569,1529,1782,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,205871,127169,4138,2561,79146,1574,6281,35817,61113,56814,28605,42589,759,67847,477,75560,4092,193671,107367,80497,3666,1574,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,1203197,276691,572292,21658,519704,8566,30892,382091,135945,171271,310140,143705,1331,152156,41286,561313,37623,1625484,655032,380114,2981,8566,97.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,205871,127169,4138,2561,79146,1574,6281,35817,61113,56814,28605,42589,759,67847,477,75560,4092,193671,107367,80497,3666,1574,98.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,1203197,276691,572292,21658,519704,8566,30892,382091,135945,171271,310140,143705,1331,152156,41286,561313,37623,1625484,655032,380114,2981,8566,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,402895,135435,182602,7310,148926,1016,4804,143128,29042,50033,100179,37269,127,52879,12167,156006,6283,461125,213021,125429,782,1016,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,1496805,392341,560415,22565,614109,16141,51289,463598,235446,228551,373891,179501,925,248578,73761,582952,74863,1919832,898241,523656,4209,16141,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,487360,226866,197558,7553,76783,567,5755,120768,13683,27142,106704,17829,299,7961,1360,179774,7347,488965,214455,148100,856,567,101.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,521186,113071,221806,7899,202380,4544,18004,178191,67505,77854,134931,71646,941,59627,12483,232642,29297,729708,309479,166959,1565,4544,97.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,307071,118498,94648,4830,80023,1667,7609,143413,38370,35636,67765,38999,1257,36605,2198,124298,17842,399581,165022,94073,852,1667,97.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,499260,139199,278073,6135,212487,961,5614,179770,26449,48150,162045,29289,341,32733,15861,241908,7773,582544,272009,177826,964,961,102.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,690167,208313,323788,9959,297308,3342,13857,246480,50603,69909,220996,57621,1784,71114,59354,331942,19805,841958,398257,253488,1575,3342,99.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,1072969,206975,191182,32919,547206,38570,96301,231263,547214,369857,184021,338725,1871,440717,36724,463109,119513,1414154,748339,462741,6097,38570,96.0,74.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,3342,690167,208313,323788,9959,297308,3342,13857,246480,50603,69909,220996,57621,1784,71114,59354,331942,19805,841958,398257,253488,1575,3342,99.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,38570,1072969,206975,191182,32919,547206,38570,96301,231263,547214,369857,184021,338725,1871,440717,36724,463109,119513,1414154,748339,462741,6097,38570,96.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,1757664,383279,708993,34078,728556,20261,59523,618508,259502,267090,448306,207630,1382,228246,97810,739497,86940,2454299,1038155,560184,4561,20261,98.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,1155807,465287,523356,12643,253131,2737,18983,364452,59109,130736,253795,75066,1964,36922,21245,492651,18701,1441436,561915,355077,2462,2737,98.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,105521,1845,481,409,49249,1316,4543,8957,40804,40951,11808,37112,12,34905,10900,14722,33493,122589,52868,15428,34145,1316,53.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,1123709,367311,333996,9645,498326,6628,26991,271762,344568,313730,124396,317838,1942,336428,48359,457405,57119,1527888,749156,461650,5549,6628,95.0,67.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,1123709,367311,333996,9645,498326,6628,26991,271762,344568,313730,124396,317838,1942,336428,48359,457405,57119,1527888,749156,461650,5549,6628,95.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,327658,15402,14120,8862,173951,23440,56266,40968,159976,140924,27004,144020,774,150059,388,145651,26362,380926,260533,175035,2078,23440,96.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,249590,15952,12640,5846,138810,17624,44299,29874,129135,116414,22951,113324,351,125635,467,108881,29829,314480,194872,130605,1646,17624,99.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,2594952,142670,268954,54876,1456046,126341,273651,761358,1295122,1241055,145695,1286525,3407,1265476,158096,1193694,269205,3952858,2043895,1198152,18633,126341,90.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,657139,232126,209935,6083,273331,2538,12765,230474,201157,173045,56216,191055,300,200362,32323,265928,21529,836343,389892,282409,2825,2538,96.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,844794,152412,346329,16460,378310,9902,32523,257524,254683,230571,98762,283725,71,323542,51975,379759,31488,1134962,585093,366419,4372,9902,92.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,1248600,475585,350541,11812,396873,3424,23149,366867,229091,146022,170764,295278,128,347860,151670,515862,33035,1984701,738412,394793,4242,3424,94.0,55.0
